

Colorado (PST) SNOTEL Site Copper Mountain - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Sat Jun 30 21:18:40 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
415,2009-01-01,00:00,     7.4,     8.1,    -3.8,      29,
415,2009-01-01,01:00,     7.4,     8.1,    -4.2,      29,
415,2009-01-01,02:00,     7.4,     8.1,    -4.3,      29,
415,2009-01-01,03:00,     7.4,     8.1,    -2.8,      28,
415,2009-01-01,04:00,     7.4,     8.1,    -3.9,      29,
415,2009-01-01,05:00,     7.4,     8.1,    -3.7,      28,
415,2009-01-01,06:00,     7.4,     8.1,    -3.8,      29,
415,2009-01-01,07:00,     7.4,     8.1,    -3.7,      28,
415,2009-01-01,08:00,     7.4,     8.0,    -3.1,      28,
415,2009-01-01,09:00,     7.4,     8.1,    -2.0,      28,
415,2009-01-01,10:00,     7.5,     8.1,    -1.2,      28,
415,2009-01-01,11:00,     7.5,     8.1,    -0.8,      28,
415,2009-01-01,12:00,     7.5,     8.1,    -0.6,      28,
415,2009-01-01,13:00,     7.5,     8.2,    -0.6,      28,
415,2009-01-01,14:00,     7.5,     8.2,    -1.0,      28,
415,2009-01-01,15:00,     7.5,     8.2,    -1.3,      28,
415,2009-01-01,16:00,     7.5,     8.2,    -1.7,      28,
415,2009-01-01,17:00,     7.5,     8.1,    -2.0,      28,
415,2009-01-01,18:00,     7.5,     8.1,    -2.4,      28,
415,2009-01-01,19:00,     7.5,     8.1,    -2.5,      28,
415,2009-01-01,20:00,     7.5,     8.1,    -3.3,      28,
415,2009-01-01,21:00,     7.5,     8.1,    -4.4,      28,
415,2009-01-01,22:00,     7.5,     8.1,    -4.1,      28,
415,2009-01-01,23:00,     7.5,     8.1,    -4.7,      28,
415,2009-01-02,00:00,     7.5,     8.1,    -2.4,      27,
415,2009-01-02,01:00,     7.5,     8.1,    -3.0,      28,
415,2009-01-02,02:00,     7.5,     8.1,    -3.4,      28,
415,2009-01-02,03:00,     7.5,     8.1,    -3.4,      27,
415,2009-01-02,04:00,     7.5,     8.1,    -2.5,      28,
415,2009-01-02,05:00,     7.5,     8.1,    -2.6,      28,
415,2009-01-02,06:00,     7.5,     8.1,    -2.8,      27,
415,2009-01-02,07:00,     7.4,     8.1,    -1.9,      27,
415,2009-01-02,08:00,     7.5,     8.1,    -1.9,      27,
415,2009-01-02,09:00,     7.5,     8.1,     0.7,      28,
415,2009-01-02,10:00,     7.5,     8.1,     2.1,      27,
415,2009-01-02,11:00,     7.5,     8.1,     4.5,      27,
415,2009-01-02,12:00,     7.5,     8.2,     4.3,      26,
415,2009-01-02,13:00,     7.6,     8.2,     3.7,      26,
415,2009-01-02,14:00,     7.6,     8.3,     2.4,      26,
415,2009-01-02,15:00,     7.6,     8.3,     1.4,      28,
415,2009-01-02,16:00,     7.6,     8.2,     0.7,      28,
415,2009-01-02,17:00,     7.5,     8.2,     0.5,      28,
415,2009-01-02,18:00,     7.5,     8.2,     0.2,      27,
415,2009-01-02,19:00,     7.5,     8.2,    -0.8,      28,
415,2009-01-02,20:00,     7.5,     8.2,    -1.0,      28,
415,2009-01-02,21:00,     7.5,     8.2,    -0.8,      27,
415,2009-01-02,22:00,     7.5,     8.2,    -1.5,      27,
415,2009-01-02,23:00,     7.5,     8.2,    -1.5,      28,
415,2009-01-03,00:00,     7.5,     8.1,    -1.7,      28,
415,2009-01-03,01:00,     7.5,     8.2,    -2.4,      27,
415,2009-01-03,02:00,     7.5,     8.1,    -2.8,      28,
415,2009-01-03,03:00,     7.5,     8.2,    -3.0,      28,
415,2009-01-03,04:00,     7.5,     8.1,    -4.3,      28,
415,2009-01-03,05:00,     7.5,     8.2,    -4.1,      27,
415,2009-01-03,06:00,     7.5,     8.2,    -4.3,      27,
415,2009-01-03,07:00,     7.5,     8.1,    -4.2,      27,
415,2009-01-03,08:00,     7.5,     8.1,    -6.3,-99.9,
415,2009-01-03,09:00,     7.5,     8.2,    -7.3,-99.9,
415,2009-01-03,10:00,     7.6,     8.2,    -7.0,      29,
415,2009-01-03,11:00,     7.6,     8.2,    -6.7,-99.9,
415,2009-01-03,12:00,     7.6,     8.2,    -5.2,-99.9,
415,2009-01-03,13:00,     7.7,     8.2,    -6.4,-99.9,
415,2009-01-03,14:00,     7.7,     8.2,    -7.5,      29,
415,2009-01-03,15:00,     7.7,     8.2,    -8.8,-99.9,
415,2009-01-03,16:00,     7.7,     8.2,   -10.3,      29,
415,2009-01-03,17:00,     7.6,     8.2,   -11.3,      30,
415,2009-01-03,18:00,     7.6,     8.2,   -13.6,      30,
415,2009-01-03,19:00,     7.6,     8.1,   -14.2,      31,
415,2009-01-03,20:00,     7.6,     8.1,   -13.4,      31,
415,2009-01-03,21:00,     7.6,     8.1,   -13.9,      31,
415,2009-01-03,22:00,     7.6,     8.1,   -15.5,      31,
415,2009-01-03,23:00,     7.6,     8.1,   -17.7,      30,
415,2009-01-04,00:00,     7.5,     8.1,   -20.4,      31,
415,2009-01-04,01:00,     7.6,     8.0,   -21.2,      31,
415,2009-01-04,02:00,     7.5,     8.0,   -21.6,      31,
415,2009-01-04,03:00,     7.5,     8.0,   -21.9,      31,
415,2009-01-04,04:00,     7.5,     8.0,   -22.1,      31,
415,2009-01-04,05:00,     7.5,     8.0,   -22.5,      31,
415,2009-01-04,06:00,     7.5,     8.0,   -22.6,      31,
415,2009-01-04,07:00,     7.5,     8.0,   -21.8,      31,
415,2009-01-04,08:00,     7.5,     8.0,   -18.9,      31,
415,2009-01-04,09:00,     7.5,     8.0,   -13.3,      30,
415,2009-01-04,10:00,     7.5,     8.1,    -9.3,      30,
415,2009-01-04,11:00,     7.6,     8.1,    -7.3,      29,
415,2009-01-04,12:00,     7.6,     8.2,    -6.6,      28,
415,2009-01-04,13:00,     7.6,     8.2,    -6.3,      28,
415,2009-01-04,14:00,     7.7,     8.3,    -7.7,      27,
415,2009-01-04,15:00,     7.7,     8.3,   -10.3,      29,
415,2009-01-04,16:00,     7.6,     8.2,   -13.3,      29,
415,2009-01-04,17:00,     7.6,     8.2,   -16.1,      30,
415,2009-01-04,18:00,     7.6,     8.2,   -17.6,      30,
415,2009-01-04,19:00,     7.6,     8.1,   -18.5,      30,
415,2009-01-04,20:00,     7.6,     8.1,   -18.5,      30,
415,2009-01-04,21:00,     7.6,     8.1,   -18.7,      30,
415,2009-01-04,22:00,     7.5,     8.1,   -18.7,      30,
415,2009-01-04,23:00,     7.5,     8.0,   -19.1,      30,
415,2009-01-05,00:00,     7.5,     8.1,   -18.4,      29,
415,2009-01-05,01:00,     7.5,     8.0,   -17.5,      29,
415,2009-01-05,02:00,     7.5,     8.0,   -20.4,      30,
415,2009-01-05,03:00,     7.5,     8.0,   -20.1,      30,
415,2009-01-05,04:00,     7.5,     8.0,   -19.9,      30,
415,2009-01-05,05:00,     7.5,     8.0,   -18.4,      30,
